sort_name,data_type,data_range,sort_time(miliseconds),compare
Shell-Sort,reversed,50000,1,1341072
Counting-Sort,reversed,50000,0,200007
Flash-Sort,reversed,50000,13,434310
Selection-Sort,random,100000,21332,10000100001
Insertion-Sort,random,100000,0,299998
bubble-Sort,random,100000,15118,10000099999
Heap-Sort,random,100000,28,8360116
Merge-Sort,random,100000,70,5567898
Quick-Sort,random,100000,7,3446461
Radix-Sort,random,100000,0,200000
Shaker-Sort,random,100000,11549,10000050001
Shell-Sort,random,100000,3,2691072
Counting-Sort,random,100000,0,400005
Flash-Sort,random,100000,0,343001
Selection-Sort,nearly-sorted,100000,10130,10000100001
Insertion-Sort,nearly-sorted,100000,0,299998
bubble-Sort,nearly-sorted,100000,13733,10000099999
Heap-Sort,nearly-sorted,100000,27,8365084
Merge-Sort,nearly-sorted,100000,67,5730029
Quick-Sort,nearly-sorted,100000,8,3548155
Radix-Sort,nearly-sorted,100000,3,500025
Shaker-Sort,nearly-sorted,100000,12590,10000050001
Shell-Sort,nearly-sorted,100000,3,2691072
Counting-Sort,nearly-sorted,100000,0,400007
Flash-Sort,nearly-sorted,100000,4,868614
Selection-Sort,sorted,100000,12883,10000100001
Insertion-Sort,sorted,100000,0,299998
bubble-Sort,sorted,100000,13194,10000099999
Heap-Sort,sorted,100000,27,8365084
Merge-Sort,sorted,100000,69,5730029
Quick-Sort,sorted,100000,7,3548155
Radix-Sort,sorted,100000,3,500025
Shaker-Sort,sorted,100000,12515,10000050001
Shell-Sort,sorted,100000,3,2691072
Counting-Sort,sorted,100000,0,400007
Flash-Sort,sorted,100000,4,868614
Selection-Sort,reversed,100000,11318,10000100001
Insertion-Sort,reversed,100000,0,299998
bubble-Sort,reversed,100000,11229,10000099999
Heap-Sort,reversed,100000,27,8365084
Merge-Sort,reversed,100000,87,5730029
Quick-Sort,reversed,100000,7,3548155
Radix-Sort,reversed,100000,4,500025
Shaker-Sort,reversed,100000,11952,10000050001
Shell-Sort,reversed,100000,4,2691072
Counting-Sort,reversed,100000,0,400007
Flash-Sort,reversed,100000,5,868614
Selection-Sort,random,300000,108734,90000300001
Insertion-Sort,random,300000,1,899998
bubble-Sort,random,300000,121158,90000299999
Heap-Sort,random,300000,94,27430248
Merge-Sort,random,300000,266,18108314
Quick-Sort,random,300000,27,11472573
Radix-Sort,random,300000,0,600000
Shaker-Sort,random,300000,132983,90000150001
Shell-Sort,random,300000,10,8091072
Counting-Sort,random,300000,2,1200005
Flash-Sort,random,300000,1,1029001
Selection-Sort,nearly-sorted,300000,106546,90000300001
Insertion-Sort,nearly-sorted,300000,1,899998
bubble-Sort,nearly-sorted,300000,117329,90000299999
Heap-Sort,nearly-sorted,300000,96,27413234
Merge-Sort,nearly-sorted,300000,223,19081135
Quick-Sort,nearly-sorted,300000,26,11487835
Radix-Sort,nearly-sorted,300000,11,1500025
Shaker-Sort,nearly-sorted,300000,115289,90000150001
Shell-Sort,nearly-sorted,300000,10,8091072
Counting-Sort,nearly-sorted,300000,2,1200009
Flash-Sort,nearly-sorted,300000,18,2802439
Selection-Sort,sorted,300000,105716,90000300001
Insertion-Sort,sorted,300000,1,899998
bubble-Sort,sorted,300000,108764,90000299999
Heap-Sort,sorted,300000,92,27413234
Merge-Sort,sorted,300000,212,19081135
Quick-Sort,sorted,300000,25,11487835
Radix-Sort,sorted,300000,11,1500025
Shaker-Sort,sorted,300000,129392,90000150001
Shell-Sort,sorted,300000,11,8091072
Counting-Sort,sorted,300000,2,1200009
Flash-Sort,sorted,300000,18,2802439
Selection-Sort,reversed,300000,111833,90000300001
Insertion-Sort,reversed,300000,1,899998
bubble-Sort,reversed,300000,115626,90000299999
Heap-Sort,reversed,300000,94,27413234
Merge-Sort,reversed,300000,236,19081135
Quick-Sort,reversed,300000,25,11487835
Radix-Sort,reversed,300000,11,1500025
Shaker-Sort,reversed,300000,106998,90000150001
Shell-Sort,reversed,300000,10,8091072
Counting-Sort,reversed,300000,2,1200009
Flash-Sort,reversed,300000,16,2802439
Selection-Sort,random,500000,282520,250000500001
Insertion-Sort,random,500000,2,1499998
bubble-Sort,random,500000,296724,250000499999
Heap-Sort,random,500000,186,47118656
Merge-Sort,random,500000,424,31336410
Quick-Sort,random,500000,44,18929085
Radix-Sort,random,500000,1,1000000
Shaker-Sort,random,500000,338765,250000250001
Shell-Sort,random,500000,18,13491072
Counting-Sort,random,500000,3,2000005
Flash-Sort,random,500000,1,1715001
Selection-Sort,nearly-sorted,500000,298290,250000500001
Insertion-Sort,nearly-sorted,500000,2,1499998
bubble-Sort,nearly-sorted,500000,298222,250000499999
Heap-Sort,nearly-sorted,500000,153,47404890
Merge-Sort,nearly-sorted,500000,349,31884971
Quick-Sort,nearly-sorted,500000,43,19535866
Radix-Sort,nearly-sorted,500000,18,2500025
Shaker-Sort,nearly-sorted,500000,307778,250000250001
Shell-Sort,nearly-sorted,500000,18,13491072
Counting-Sort,nearly-sorted,500000,3,2000007
Flash-Sort,nearly-sorted,500000,24,4146438
Selection-Sort,sorted,500000,261710,250000500001
Insertion-Sort,sorted,500000,1,1499998
bubble-Sort,sorted,500000,265818,250000499999
Heap-Sort,sorted,500000,150,47404890
Merge-Sort,sorted,500000,322,31884971
Quick-Sort,sorted,500000,42,19535866
Radix-Sort,sorted,500000,16,2500025
Shaker-Sort,sorted,500000,276430,250000250001
Shell-Sort,sorted,500000,16,13491072
Counting-Sort,sorted,500000,3,2000007
Flash-Sort,sorted,500000,23,4146438
Selection-Sort,reversed,500000,241278,250000500001
Insertion-Sort,reversed,500000,1,1499998
bubble-Sort,reversed,500000,268842,250000499999
Heap-Sort,reversed,500000,150,47404890
Merge-Sort,reversed,500000,320,31884971
Quick-Sort,reversed,500000,42,19535866
Radix-Sort,reversed,500000,16,2500025
Shaker-Sort,reversed,500000,275911,250000250001
Shell-Sort,reversed,500000,16,13491072
Counting-Sort,reversed,500000,3,2000007
Flash-Sort,reversed,500000,23,4146438
